PAÍS,CONTINENTE
Abjasia,Asia
Afganistán,Asia
Akrotiri y Dhekelia,Asia
Albania,Europa
Argelia,África
Samoa Americana,Oceanía
Andorra,Europa
Angola,África
Anguila,América
Antártida,Antártida
Antigua y Barbuda,América
Argentina,América
Armenia,Asia
Aruba,América
Australia,Oceanía
Austria,Europa
Austria-Hungría,Europa
Azerbaiyán,Asia
Baden,Europa
Bahamas,América
Baréin,Asia
Bangladés,Asia
Barbados,América
Baviera,Europa
Bielorrusia,Europa
Bélgica,Europa
Belice,América
Benín,África
Bermudas,América
Bután,Asia
Bolivia,América
Bonaire Sint Eustatius y Saba,América
Bosnia y Herzegovina,Europa
Botsuana,África
Isla Bouvet,Antártida
Brasil,América
Territorio Británico del Océano Índico,Asia
Islas Vírgenes Británicas,América
Brunéi,Asia
Bulgaria,Europa
Burkina Faso,África
Burundi,África
Camboya,Asia
Camerún,África
Canadá,América
Cabo Verde,África
Islas Caimán,América
República Centroafricana,África
Chad,África
Islas del Canal,Europa
Chile,América
China,Asia
Isla de Navidad,Asia
Islas Cocos,Asia
Colombia,América
Comoras,África
Congo,África
Islas Cook,Oceanía
Costa Rica,América
Costa de Marfil,África
Croacia,Europa
Cuba,América
Curazao,América
Chipre,Europa
Chequia,Europa
Checoslovaquia,Europa
República Democrática del Congo,África
Dinamarca,Europa
Yibuti,África
Dominica,América
República Dominicana,América
Alemania Oriental,Europa
Ecuador,América
Egipto,África
El Salvador,América
Guinea Ecuatorial,África
Eritrea,África
Eritrea y Etiopía,África
Estonia,Europa
Esuatini,África
Etiopía,África
Islas Feroe,Europa
Islas Malvinas,América
Fiyi,Oceanía
Finlandia,Europa
Francia,Europa
Guayana Francesa,América
Polinesia Francesa,Oceanía
Territorios Australes Franceses,Antártida
Gabón,África
Gambia,África
Georgia,Asia
Alemania,Europa
Ghana,África
Gibraltar,Europa
Grecia,Europa
Groenlandia,América
Granada,América
Guadalupe,América
Guam,Oceanía
Guatemala,América
Guernsey,Europa
Guinea,África
Guinea-Bissau,África
Guyana,América
Haití,América
Hannover,Europa
Islas Heard y McDonald,Antártida
Hesse Electoral,Europa
Hesse Gran Ducal,Europa
Honduras,América
Hong Kong,Asia
Hungría,Europa
Islandia,Europa
India,Asia
Indonesia,Asia
Irán,Asia
Irak,Asia
Irlanda,Europa
Isla de Man,Europa
Israel,Asia
Italia,Europa
Jamaica,América
Japón,Asia
Jersey,Europa
Jordania,Asia
Kazajistán,Asia
Kenia,África
Kiribati,Oceanía
Kosovo,Europa
Kuwait,Asia
Kirguistán,Asia
Laos,Asia
Letonia,Europa
Líbano,Asia
Lesoto,África
Liberia,África
Libia,África
Liechtenstein,Europa
Lituania,Europa
Luxemburgo,Europa
Macao,Asia
Madagascar,África
Malaui,África
Malasia,Asia
Maldivas,Asia
Malí,África
Malta,Europa
Islas Marshall,Oceanía
Martinica,América
Mauritania,África
Mauricio,África
Mayotte,África
Mecklemburgo-Schwerin,Europa
México,América
Micronesia,Oceanía
Módena,Europa
Moldavia,Europa
Mónaco,Europa
Mongolia,Asia
Montenegro,Europa
Montserrat,América
Marruecos,África
Mozambique,África
Myanmar,Asia
Nagorno-Karabaj,Asia
Namibia,África
Nauru,Oceanía
Nepal,Asia
Países Bajos,Europa
Antillas Neerlandesas,América
Nueva Caledonia,Oceanía
Nueva Zelanda,Oceanía
Nicaragua,América
Níger,África
Nigeria,África
Niue,Oceanía
Isla Norfolk,Oceanía
Corea del Norte,Asia
Macedonia del Norte,Europa
